-0.62137,-0.61383,0.11351,0.47646,0.10036,-0.35972,0.23143,0.37085
-1.1154e-15,0.23665,0.77662,-4.1633e-17,-0.77309,-0.11518,5.5511e-16,0.25151
0.62137,-0.61383,0.11351,-0.47646,0.10036,-0.35972,-0.23143,0.37085
-0.14491,-0.46709,0.41327,-0.75498,-0.43355,0.29605,-0.27508,-0.045696
-6.3144e-16,-0.34908,0.65839,-6.1756e-16,0.84572,-0.21034,-5.9674e-16,0.13605
7.9667e-16,0.32942,-0.48327,-9.515e-16,-0.29043,-0.94172,9.5843e-16,-0.14168
-0.034648,0.23313,0.16647,-0.55456,-0.58302,-0.25648,0.32852,-0.65492
0.14491,-0.46709,0.41327,0.75498,-0.43355,0.29605,0.27508,-0.045696
0.34849,-0.13311,-0.042528,-0.4153,0.49334,-0.63195,0.35035,-0.50438
0.73163,0.38001,-0.39152,-0.27604,0.12174,-0.29875,0.37218,0.42611
-0.65602,-0.22405,0.063303,-0.078105,-0.67488,0.26658,0.55995,0.050991
0.65602,-0.22405,0.063303,0.078105,-0.67488,0.26658,-0.55995,0.050991
1.1753e-16,0.037165,-0.00196,1.0018e-15,0.26056,0.27466,-3.489e-16,-1.0902
-0.34849,-0.13311,-0.042528,0.4153,0.49334,-0.63195,-0.35035,-0.50438
-0.20042,-0.19211,-0.16509,0.43865,-0.14629,-0.37875,0.71932,-0.59525
-0.27288,-0.10423,-0.84564,0.061158,-0.081171,-0.16782,0.58178,0.3949
0.27604,0.31919,0.63998,-0.79279,0.16767,-0.11754,0.21281,0.17306
-0.4934,-0.59029,-0.14569,-0.33968,0.40148,-0.10888,-0.62543,0.20153
0.034648,0.23313,0.16647,0.55456,-0.58302,-0.25648,-0.32852,-0.65492
-0.73163,0.38001,-0.39152,0.27604,0.12174,-0.29875,-0.37218,0.42611
0.11026,-0.17698,-0.4551,0.20042,-0.072632,0.76825,0.60361,-0.28765
0.4934,-0.59029,-0.14569,0.33968,0.40148,-0.10888,0.62543,0.20153
0.41779,0.30726,-0.00097999,0.69382,0.13028,0.63733,-0.3067,-0.25644
-0.34533,0.80526,-0.059962,-0.31633,-0.31499,-0.17648,0.44424,0.36644
-0.27604,0.31919,0.63998,0.79279,0.16767,-0.11754,-0.21281,0.17306
0.20042,-0.19211,-0.16509,-0.43865,-0.14629,-0.37875,-0.71932,-0.59525
0.34533,0.80526,-0.059962,0.31633,-0.31499,-0.17648,-0.44424,0.36644
-0.41779,0.30726,-0.00097999,-0.69382,0.13028,0.63733,0.3067,-0.25644
-0.11026,-0.17698,-0.4551,-0.20042,-0.072632,0.76825,-0.60361,-0.28765
-3.4694e-18,-0.87789,-0.31984,5.4817e-16,-0.28408,0.40585,8.0925e-16,0.46361
0.27288,-0.10423,-0.84564,-0.061158,-0.081171,-0.16782,-0.58178,0.3949
0.42095,0.36626,0.12158,-0.037808,0.76991,0.38413,0.48789,-0.16557
-0.42095,0.36626,0.12158,0.037808,0.76991,0.38413,-0.48789,-0.16557
-0.76628,0.090598,0.5884,-0.27853,0.12174,0.144,-0.043657,0.52602
0.76628,0.090598,0.5884,0.27853,0.12174,0.144,0.043657,0.52602
5.7951e-16,0.62373,-0.62994,4.1633e-17,0.24133,0.58673,5.844e-16,0.38075
